player,team,pos,gp,min,pts,reb,ast,stl,blk,tpm,tov,fga,fta,fg,ft,adp
Kyshawn George,WAS,PG/SF/SG,70,26.0,8.7,4.19,2.5,1.0,0.74,1.68,1.43,8.03,1.37,0.0,0.0,194.0
Justin Champagnie,WAS,PF,70,26.0,8.8,5.66,1.0,1.05,0.63,1.19,0.87,6.63,1.18,0.0,0.0,195.0
Ziaire Williams,BKN,PF/SF/SG,70,26.0,10.0,4.56,1.3,0.98,0.44,1.63,1.06,8.25,1.95,0.0,0.0,196.0
Ochai Agbaji,TOR,PG/SF/SG,70,26.0,10.4,3.78,1.5,0.91,0.47,1.58,0.84,8.34,0.75,0.0,0.0,197.0
Matisse Thybulle,POR,SF/SG,70,26.0,7.5,3.47,1.9,2.2,0.6,1.4,0.87,5.87,1.0,0.0,0.0,198.0
Marcus Bagley,,PF/SF,70,26.0,6.7,7.0,1.0,0.9,1.2,0.5,0.7,6.9,1.0,0.0,0.0,199.0
Mike Conley,MIN,PG,70,26.0,8.2,2.56,4.5,1.11,0.2,1.79,1.06,6.59,1.27,0.0,0.0,200.0
Buddy Hield,GSW,SF/SG,70,26.0,11.1,3.22,1.6,0.84,0.28,2.48,1.11,9.59,0.78,0.0,0.0,201.0
Terry Rozier,MIA,PG,70,26.0,10.6,3.72,2.6,0.58,0.22,1.42,1.22,9.92,1.69,0.0,0.0,202.0
Grayson Allen,PHX,SF/SG,70,26.0,10.6,3.03,2.1,0.84,0.3,2.33,1.17,7.64,1.78,0.0,0.0,203.0
Miles McBride,NYK,PG,70,26.0,9.5,2.52,2.9,1.05,0.27,1.8,0.64,8.55,1.0,0.0,0.0,204.0
Lonzo Ball,CLE,PG/SF/SG,70,26.0,7.6,3.37,3.3,1.34,0.49,1.91,1.17,6.94,0.77,0.0,0.0,205.0
Oscar Tshiebwe,UTA,C,70,26.0,7.6,8.71,0.6,0.93,0.07,0.0,0.71,5.0,2.21,0.0,0.0,206.0
Bogdan Bogdanović,LAC,SF/SG,70,26.0,10.7,2.92,2.6,0.76,0.21,1.93,1.39,9.13,1.25,0.0,0.0,207.0
Kelly Olynyk,SAS,C/PF,70,26.0,8.9,4.78,2.95,0.76,0.44,0.74,1.75,6.21,2.52,0.0,0.0,208.0
T.J. McConnell,IND,PG,70,26.0,9.1,2.44,4.4,1.05,0.27,0.19,1.38,7.9,0.97,0.0,0.0,209.0
Obi Toppin,IND,PF/SF,70,26.0,10.5,4.03,1.6,0.58,0.35,1.39,0.86,7.58,1.44,0.0,0.0,210.0
Anthony Black,ORL,PG/SG,70,26.0,9.4,2.95,3.1,1.1,0.62,0.79,1.78,7.95,2.53,0.0,0.0,211.0
Julian Champagnie,SAS,SF/SG,70,26.0,9.9,3.88,1.4,0.74,0.43,2.17,0.9,8.11,1.15,0.0,0.0,212.0
Davion Mitchell,MIA,PG,70,26.0,8.3,2.33,4.95,1.04,0.23,1.17,1.72,6.64,1.21,0.0,0.0,213.0
Dorian Finney-Smith,HOU,PF/SF,70,26.0,9.15,4.09,1.5,0.92,0.43,2.13,0.89,7.19,0.84,0.0,0.0,214.0
Corey Kispert,WAS,PF/SF,70,26.0,11.6,2.97,1.7,0.43,0.23,1.97,1.05,9.26,1.44,0.0,0.0,215.0
Justin Edwards,PHI,PF/SF,70,26.0,10.1,3.36,1.6,1.02,0.36,1.57,1.11,8.59,1.05,0.0,0.0,216.0
Keion Brooks,,PF/SF,70,26.0,10.1,4.14,0.9,0.71,0.71,1.0,0.86,7.79,2.14,0.0,0.0,217.0
Tosan Evbuomwan,NYK,PF/SF,70,26.0,9.5,4.29,2.0,0.86,0.36,0.86,1.39,7.86,2.61,0.0,0.0,218.0
Andre Drummond,PHI,C,70,26.0,7.3,7.75,0.9,0.98,0.45,0.08,1.38,5.85,2.25,0.0,0.0,219.0
Max Christie,DAL,SF/SG,70,26.0,9.85,3.44,1.95,0.83,0.39,1.51,1.19,7.85,1.96,0.0,0.0,220.0
Nickeil Alexander-Walker,ATL,SF/SG,70,26.0,9.4,3.23,2.7,0.61,0.41,1.72,1.21,7.51,1.44,0.0,0.0,221.0
Duncan Robinson,DET,SF/SG,70,26.0,11.0,2.26,2.4,0.54,0.08,2.57,1.16,8.96,0.72,0.0,0.0,222.0
Gary Trent,MIL,SF/SG,70,26.0,11.1,2.27,1.2,0.97,0.05,2.43,0.57,8.88,1.24,0.0,0.0,223.0
Larry Nance,CLE,C/PF,70,26.0,8.5,4.29,1.6,0.83,0.54,1.42,0.67,6.46,0.54,0.0,0.0,224.0
Chris Boucher,BOS,C/PF,70,26.0,10.0,4.48,0.7,0.48,0.5,1.4,0.58,7.4,1.74,0.0,0.0,225.0
Tre Jones,CHI,PG/SF/SG,70,26.0,7.95,2.65,4.3,0.85,0.23,0.45,0.77,5.69,1.53,0.0,0.0,226.0
Keon Ellis,SAC,PG/SG,70,26.0,8.3,2.65,1.5,1.51,0.79,1.74,0.89,5.8,1.08,0.0,0.0,227.0
Cole Anthony,MIL,PG,70,26.0,9.4,3.04,2.9,0.67,0.48,1.15,1.54,8.1,1.69,0.0,0.0,228.0
Alex Caruso,OKC,PF/SF/SG,70,26.0,7.1,2.94,2.5,1.61,0.56,1.11,0.69,5.81,0.94,0.0,0.0,229.0
Isaiah Jackson,IND,C,70,26.0,7.0,5.6,1.0,0.6,1.6,0.0,1.0,4.6,2.8,0.0,0.0,230.0
Brandon Ingram,TOR,PF/SF/SG,70,26.0,11.1,2.78,2.6,0.45,0.3,1.2,1.92,9.25,1.53,0.0,0.0,231.0
Trendon Watford,PHI,C/PF/SF,70,26.0,10.2,3.64,2.6,0.61,0.27,0.66,1.89,7.95,2.77,0.0,0.0,232.0
Jaylen Wells,MEM,SF/SG,70,26.0,10.4,3.39,1.7,0.56,0.1,1.75,0.87,8.56,1.71,0.0,0.0,233.0
Luke Kennard,ATL,PG/SG,70,26.0,8.9,2.82,3.3,0.77,0.08,1.74,1.11,6.63,0.88,0.0,0.0,234.0
Isaiah Joe,OKC,PG/SF/SG,70,26.0,10.2,2.65,1.6,0.65,0.12,2.59,0.51,7.95,0.76,0.0,0.0,235.0
Patrick Williams,CHI,PF,70,26.0,9.0,3.76,2.0,0.76,0.51,1.52,1.37,8.19,1.32,0.0,0.0,236.0
Jaime Jaquez,MIA,SF/SG,70,26.0,8.6,4.39,2.5,0.92,0.21,0.56,1.48,7.0,2.15,0.0,0.0,237.0
Derrick Jones,LAC,C/PF,70,26.0,10.1,3.42,0.8,1.03,0.43,1.01,0.86,7.65,1.53,0.0,0.0,238.0
Tim Hardaway,DEN,SF/SG,70,26.0,11.0,2.38,1.6,0.49,0.09,2.18,0.62,8.83,1.88,0.0,0.0,239.0
Peyton Watson,DEN,PF/SF,70,26.0,8.1,3.43,1.4,0.71,1.37,0.71,0.82,6.29,2.01,0.0,0.0,240.0
Jordan Hawkins,NOP,PG/SF/SG,70,26.0,10.8,2.82,1.2,0.54,0.41,1.96,1.04,9.93,1.75,0.0,0.0,241.0
Jalen Smith,CHI,C,70,26.0,8.2,5.58,1.0,0.27,0.69,1.13,0.58,6.38,1.39,0.0,0.0,242.0
Kris Dunn,LAC,PG/SG,70,26.0,6.4,3.39,2.8,1.73,0.36,1.01,1.0,5.91,0.3,0.0,0.0,243.0
Robert Williams,POR,C/PF,70,26.0,5.8,5.9,1.1,0.65,1.65,0.05,0.85,3.9,0.85,0.0,0.0,244.0
Brice Sensabaugh,UTA,PF/SF,70,26.0,10.9,2.96,1.5,0.65,0.11,2.21,1.51,8.44,1.03,0.0,0.0,245.0
Marcus Smart,LAL,PG/SG,70,26.0,9.0,2.09,3.1,1.14,0.26,1.43,1.56,7.53,2.11,0.0,0.0,246.0
Brandon Clarke,MEM,C/PF,70,26.0,8.3,5.09,1.0,0.81,0.56,0.02,0.64,5.94,1.36,0.0,0.0,247.0
Jaylin Williams,OKC,C,70,26.0,5.9,5.57,2.6,0.47,0.62,1.3,0.74,4.7,0.64,0.0,0.0,248.0
Georges Niang,UTA,PF,70,26.0,10.4,3.33,1.45,0.36,0.2,2.23,1.07,8.27,0.8,0.0,0.0,249.0
Jared Butler,,PG/SF/SG,70,26.0,9.2,1.87,3.75,0.73,0.22,1.04,1.36,7.7,1.52,0.0,0.0,250.0
Moses Moody,GSW,PF/SF/SG,70,26.0,9.8,2.55,1.3,0.8,0.42,1.7,0.73,7.68,1.8,0.0,0.0,251.0
Kentavious Caldwell-Pope,MEM,SF/SG,70,26.0,8.7,2.19,1.8,1.29,0.44,1.47,0.81,7.06,1.23,0.0,0.0,252.0
Taylor Hendricks,UTA,PF/SF,70,26.0,4.7,5.0,0.7,1.67,1.33,1.0,0.67,6.0,1.33,0.0,0.0,253.0
Isaiah Stewart,DET,C,70,26.0,6.0,5.54,1.7,0.39,1.4,0.24,0.94,4.38,1.21,0.0,0.0,254.0
Taurean Prince,MIL,PF/SF/SG,70,26.0,8.2,3.59,1.9,0.95,0.19,1.84,1.03,6.43,0.6,0.0,0.0,255.0
Karlo Matković,NOP,C/PF,70,26.0,7.7,4.98,1.1,0.52,0.98,0.5,1.02,5.6,1.05,0.0,0.0,256.0
Bruce Brown,DEN,PG/SF/SG,70,26.0,8.3,3.97,2.0,0.84,0.23,0.66,0.97,7.51,1.59,0.0,0.0,257.0
Richaun Holmes,,C,70,26.0,7.4,5.71,1.4,0.29,0.74,0.0,0.68,4.48,1.94,0.0,0.0,258.0
Noah Clowney,BKN,C/PF,70,26.0,9.1,3.93,0.9,0.52,0.46,1.89,1.0,8.09,1.74,0.0,0.0,259.0
Jalen Wilson,BKN,PF/SF/SG,70,26.0,9.5,3.42,1.8,0.51,0.06,1.54,1.0,7.85,2.09,0.0,0.0,260.0
Tyrese Martin,BKN,PG/SF/SG,70,26.0,8.7,3.65,2.0,0.57,0.15,1.65,1.23,7.75,0.97,0.0,0.0,261.0
Precious Achiuwa,MIA,C,70,26.0,6.6,5.56,1.0,0.82,0.74,0.18,0.79,5.74,1.21,0.0,0.0,262.0
Jonathan Mogbo,TOR,C/PF,70,26.0,6.2,4.94,2.3,0.87,0.54,0.27,1.11,5.65,1.3,0.0,0.0,263.0
Luke Kornet,SAS,C,70,26.0,6.0,5.32,1.6,0.49,0.97,0.0,0.42,3.84,1.33,0.0,0.0,264.0
Tristan Vukcevic,WAS,C,70,26.0,9.4,3.71,1.1,0.31,0.66,1.09,1.2,6.91,1.91,0.0,0.0,265.0
KJ Simpson,CHA,PG,70,26.0,7.8,3.03,3.1,0.94,0.17,0.92,1.56,8.36,1.39,0.0,0.0,266.0
Damion Baugh,,PG/SG,70,26.0,7.3,3.33,3.7,1.0,0.13,0.8,2.07,8.67,1.0,0.0,0.0,267.0
Ben Simmons,,PG,70,26.0,4.55,4.52,5.0,0.73,0.43,0.0,1.73,4.04,0.59,0.0,0.0,268.0
Matas Buzelis,CHI,PF/SF,70,26.0,8.6,3.48,1.0,0.36,0.94,1.2,0.93,6.94,1.35,0.0,0.0,269.0
Mitchell Robinson,NYK,C,70,26.0,5.1,5.94,0.8,0.94,1.06,0.0,0.59,3.29,1.12,0.0,0.0,270.0
Caleb Martin,DAL,PF/SF,70,26.0,7.25,3.66,2.05,0.98,0.43,0.68,1.16,6.31,2.05,0.0,0.0,271.0
A.J. Lawson,,PG/SF/SG,70,26.0,9.1,3.31,1.2,0.5,0.23,1.27,0.58,7.31,2.42,0.0,0.0,272.0
Mark Williams,PHX,C,70,26.0,7.65,5.08,1.25,0.36,0.61,0.0,0.81,5.08,1.85,0.0,0.0,273.0
Ja'Kobe Walter,TOR,SF/SG,70,26.0,8.6,3.08,1.6,0.83,0.19,1.25,0.96,7.56,1.6,0.0,0.0,274.0
Nick Smith,LAL,PG/SG,70,26.0,9.9,2.13,2.4,0.28,0.1,1.73,1.37,9.47,0.77,0.0,0.0,275.0
Vít Krejčí,ATL,PF/SF/SG,70,26.0,7.2,2.74,2.6,0.63,0.46,1.58,0.88,5.12,0.79,0.0,0.0,276.0
Sam Hauser,BOS,PF/SF,70,26.0,8.5,3.15,0.9,0.58,0.18,2.34,0.32,6.68,0.15,0.0,0.0,277.0
Cam Whitmore,WAS,PF/SF,70,26.0,9.4,2.96,1.0,0.61,0.25,1.27,0.9,7.9,1.41,0.0,0.0,278.0
Jaxson Hayes,LAL,C/PF,70,26.0,6.8,4.8,1.0,0.55,0.91,0.0,0.77,3.98,1.75,0.0,0.0,279.0
Johnny Juzang,MIN,SF/SG,70,26.0,8.9,2.88,1.1,0.61,0.13,1.84,0.56,7.42,0.83,0.0,0.0,280.0
Trayce Jackson-Davis,GSW,C,70,26.0,6.6,5.02,1.7,0.37,0.61,0.0,0.73,4.87,1.65,0.0,0.0,281.0
Quinten Post,GSW,C,70,26.0,8.1,3.52,1.3,0.38,0.43,1.74,0.79,6.52,0.64,0.0,0.0,282.0
Dalano Banton,,PG,70,26.0,8.3,2.01,2.4,0.64,0.51,1.07,1.28,7.57,1.87,0.0,0.0,283.0
Mouhamed Gueye,ATL,C/PF,70,26.0,6.0,4.21,0.8,0.85,1.0,0.64,0.45,5.18,1.27,0.0,0.0,284.0
Oshae Brissett,,C/PF,70,26.0,8.7,3.67,0.7,0.67,0.5,1.0,1.33,6.5,2.33,0.0,0.0,285.0
Danté Exum,DAL,PG/SF/SG,70,26.0,8.7,1.65,2.8,0.6,0.15,1.15,1.1,6.7,1.55,0.0,0.0,286.0
Terance Mann,BKN,SF/SG,70,26.0,7.9,2.98,1.85,0.7,0.21,0.91,0.71,6.27,1.03,0.0,0.0,287.0
Amir Coffey,MIL,PF/SF,70,26.0,9.7,2.24,1.1,0.56,0.1,1.4,0.63,7.08,1.79,0.0,0.0,288.0
Zach Collins,CHI,C,70,26.0,6.6,4.75,1.75,0.47,0.46,0.52,0.98,4.87,1.25,0.0,0.0,289.0
Josh Okogie,HOU,PF/SF,70,26.0,7.45,2.8,0.95,1.32,0.47,0.85,0.82,5.54,2.4,0.0,0.0,290.0
Jake LaRavia,LAL,PF/SF,70,26.0,6.7,3.6,2.05,0.94,0.29,0.95,1.18,5.09,1.52,0.0,0.0,291.0
Svi Mykhailiuk,UTA,PF/SF/SG,70,26.0,8.8,2.37,2.0,0.5,0.18,1.84,1.37,7.95,0.92,0.0,0.0,292.0
Haywood Highsmith,BKN,PF/SF,70,26.0,6.5,3.41,1.5,0.92,0.5,1.2,0.73,5.28,0.58,0.0,0.0,293.0
Moussa Diabaté,CHA,C/PF,70,26.0,5.7,6.17,0.8,0.65,0.56,0.0,0.86,3.94,1.63,0.0,0.0,294.0
Jamal Shead,TOR,PG,70,26.0,7.1,1.53,4.2,0.77,0.13,0.96,1.56,6.72,0.92,0.0,0.0,295.0
Trey Lyles,,C/PF,70,26.0,6.5,4.58,1.2,0.59,0.33,1.17,0.57,5.42,1.16,0.0,0.0,296.0
Cody Martin,,PF/SF/SG,70,26.0,5.75,3.97,1.7,1.02,0.55,0.62,0.86,5.47,1.06,0.0,0.0,297.0
N'Faly Dante,ATL,C,70,26.0,6.0,5.25,0.5,0.25,1.25,0.0,0.5,3.25,1.25,0.0,0.0,298.0
Jonathan Isaac,ORL,PF,70,26.0,5.4,4.42,0.6,0.86,1.13,0.55,0.46,4.56,1.51,0.0,0.0,299.0
Kyle Anderson,UTA,C,70,26.0,6.0,3.45,2.45,0.64,0.54,0.39,0.62,5.03,1.14,0.0,0.0,300.0
Julian Strawther,DEN,SF/SG,70,26.0,9.0,2.18,1.3,0.6,0.25,1.45,0.88,7.48,1.38,0.0,0.0,301.0
Kevon Looney,NOP,C,70,26.0,4.5,6.08,1.6,0.61,0.49,0.03,0.51,3.66,1.3,0.0,0.0,302.0
Mason Plumlee,CHA,C,70,26.0,4.5,6.15,1.8,0.45,0.64,0.0,0.8,2.73,1.73,0.0,0.0,303.0
Josh Green,CHA,SF/SG,70,26.0,7.4,2.53,1.6,1.09,0.22,1.43,1.03,6.19,1.06,0.0,0.0,304.0
Dru Smith,MIA,PG/SG,70,26.0,6.2,2.57,1.6,1.5,0.43,1.14,1.21,4.36,0.86,0.0,0.0,305.0
Bismack Biyombo,SAS,C,70,26.0,5.1,5.64,1.1,0.57,0.82,0.0,0.96,4.07,0.89,0.0,0.0,306.0
Marcus Garrett,,SG,70,26.0,7.0,1.5,3.3,0.75,0.5,0.75,1.5,6.75,1.0,0.0,0.0,307.0
Brandon Williams,DAL,PG,70,26.0,8.3,1.76,2.3,0.73,0.15,0.73,1.18,5.7,2.0,0.0,0.0,308.0
Ryan Dunn,PHX,PF/SF,70,26.0,6.9,3.61,0.8,0.59,0.54,1.11,0.54,6.45,0.53,0.0,0.0,309.0
Kai Jones,,C,70,26.0,6.8,4.11,0.85,0.48,0.65,0.04,0.52,3.69,1.05,0.0,0.0,310.0
Jeremiah Robinson-Earl,,C/PF,70,26.0,6.3,4.77,1.3,0.59,0.11,0.85,0.77,5.26,0.83,0.0,0.0,311.0
Dean Wade,CLE,PF/SF,70,26.0,5.4,4.22,1.3,0.71,0.34,1.36,0.37,4.59,0.51,0.0,0.0,312.0
Sam Merrill,CLE,SF/SG,70,26.0,7.2,2.21,1.5,0.75,0.2,1.93,0.49,5.97,0.41,0.0,0.0,313.0
Moses Brown,DEN,C,70,26.0,7.5,4.59,0.25,0.61,0.43,0.0,0.96,4.74,1.03,0.0,0.0,314.0
Jordan Goodwin,PHX,PG,70,26.0,5.6,3.86,1.4,1.03,0.38,0.9,0.9,4.97,0.38,0.0,0.0,315.0
Tristan da Silva,ORL,PF/SF,70,26.0,7.2,3.31,1.5,0.45,0.24,1.08,0.76,6.53,0.85,0.0,0.0,316.0
Ron Harper,BOS,PF/SF,70,26.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,317.0
Elfrid Payton,,PG/SG,70,26.0,2.7,2.92,5.7,1.0,0.47,0.03,2.03,4.55,0.2,0.0,0.0,318.0
AJ Green,MIL,PG/SG,70,26.0,7.4,2.38,1.5,0.51,0.1,2.12,0.55,5.81,0.37,0.0,0.0,319.0
Vince Williams,MEM,SF/SG,70,26.0,6.6,3.63,2.0,0.44,0.26,0.96,1.22,6.19,0.89,0.0,0.0,320.0
Jacob Toppin,ATL,PF,70,26.0,8.7,2.34,1.15,0.07,0.0,2.5,0.56,6.32,0.0,0.0,0.0,321.0
Cameron Payne,IND,PG/SG,70,26.0,6.9,1.44,2.8,0.54,0.22,1.29,0.72,6.19,0.75,0.0,0.0,322.0
Tidjane Salaün,CHA,C/PF,70,26.0,5.9,4.67,1.2,0.48,0.23,0.97,0.97,5.75,1.57,0.0,0.0,323.0
Kenrich Williams,OKC,C/PF,70,26.0,6.3,3.49,1.4,0.62,0.14,0.96,0.57,5.13,0.57,0.0,0.0,324.0
DaQuan Jeffries,,PF/SF,70,26.0,6.7,2.87,1.1,0.55,0.53,1.17,0.74,6.19,0.64,0.0,0.0,325.0
Garrison Mathews,NYK,SF,70,26.0,7.5,1.85,1.3,0.55,0.32,1.81,0.66,5.47,1.66,0.0,0.0,326.0
Gary Payton,GSW,PG/SF/SG,70,26.0,6.5,2.98,1.3,0.84,0.27,0.5,0.63,4.81,0.61,0.0,0.0,327.0
Alec Burks,,PG/SF/SG,70,26.0,7.3,2.53,1.1,0.57,0.14,1.8,0.59,5.53,1.0,0.0,0.0,328.0
Adem Bona,PHI,C,70,26.0,5.8,4.22,0.5,0.45,1.19,0.0,1.05,3.31,1.72,0.0,0.0,329.0
Collin Gillespie,PHX,PG/SG,70,26.0,5.9,2.36,2.4,0.64,0.15,1.18,0.52,4.79,0.67,0.0,0.0,330.0
Ricky Council,,PG/SF/SG,70,26.0,7.3,2.93,1.3,0.44,0.18,0.75,0.71,6.34,2.1,0.0,0.0,331.0
Jarace Walker,IND,PF/SF,70,26.0,6.1,3.05,1.5,0.72,0.33,1.0,1.04,4.8,0.92,0.0,0.0,332.0
Jeff Dowtin,,PG/SF/SG,70,26.0,7.0,1.46,1.9,0.59,0.29,0.68,0.37,5.61,1.1,0.0,0.0,333.0
Chuma Okeke,,C/PF,70,26.0,4.7,4.07,1.45,0.35,0.46,0.96,0.21,4.11,0.21,0.0,0.0,334.0
Jaden Hardy,DAL,PG/SG,70,26.0,8.7,1.56,1.4,0.49,0.09,1.33,1.44,7.26,1.51,0.0,0.0,335.0
Jarred Vanderbilt,LAL,PF,70,26.0,4.1,5.06,1.1,0.97,0.28,0.25,0.81,3.36,1.0,0.0,0.0,336.0
GG Jackson,MEM,PF/SF,70,26.0,7.2,3.17,1.0,0.41,0.17,1.1,1.07,6.86,1.38,0.0,0.0,337.0
Jamison Battle,TOR,PF/SF,70,26.0,7.1,2.68,0.9,0.29,0.17,1.78,0.46,5.88,0.31,0.0,0.0,338.0
Bol Bol,,C/PF,70,26.0,6.8,2.89,0.6,0.25,0.69,0.89,0.56,5.08,0.72,0.0,0.0,339.0
Tyson Etienne,BKN,PG/SG,70,26.0,7.9,1.29,1.7,0.43,0.14,1.86,1.14,7.43,1.43,0.0,0.0,340.0
Kevin Love,UTA,C/PF,70,26.0,5.3,4.09,1.0,0.65,0.17,1.04,0.61,5.0,1.0,0.0,0.0,341.0
Nae'Qwan Tomlin,CLE,PF/SF,70,26.0,7.2,4.2,0.4,0.0,0.2,0.4,0.4,6.4,2.2,0.0,0.0,342.0
Jay Huff,IND,C,70,26.0,6.9,2.02,0.6,0.25,0.88,1.27,0.53,4.77,0.88,0.0,0.0,343.0
KJ Martin,,PF/SF,70,26.0,6.35,2.9,1.15,0.39,0.49,0.35,0.56,4.75,1.08,0.0,0.0,344.0
Ryan Rollins,MIL,PG/SG,70,26.0,6.2,1.93,1.9,0.75,0.3,0.88,0.95,4.84,0.8,0.0,0.0,345.0
Eric Gordon,PHI,SF/SG,70,26.0,6.8,1.18,1.7,0.67,0.31,1.44,0.72,5.23,1.23,0.0,0.0,346.0
Colin Castleton,ORL,PF/SF,70,26.0,4.87,5.07,1.2,0.28,0.34,0.06,0.74,3.87,1.51,0.0,0.0,347.0
Keaton Wallace,ATL,PG/SG,70,26.0,5.4,1.61,2.6,0.9,0.29,0.87,1.06,5.23,0.35,0.0,0.0,348.0
Thomas Bryant,CLE,C,70,26.0,5.5,3.56,0.65,0.29,0.73,0.68,0.35,4.02,1.02,0.0,0.0,349.0
Isaac Okoro,CHI,PF/SF,70,26.0,6.1,2.36,1.2,0.58,0.29,1.02,0.42,4.85,0.84,0.0,0.0,350.0
Sandro Mamukelashvili,TOR,C/PF,70,26.0,6.3,3.07,0.8,0.36,0.28,0.98,0.43,4.61,0.95,0.0,0.0,351.0
Ajay Mitchell,OKC,PG/SG,70,26.0,6.5,1.89,1.8,0.69,0.11,0.64,0.81,5.11,0.97,0.0,0.0,352.0
Steven Adams,HOU,C,70,26.0,3.9,5.64,1.1,0.38,0.48,0.0,0.93,2.88,1.6,0.0,0.0,353.0
Marcus Sasser,DET,PG,70,26.0,6.6,1.21,2.3,0.65,0.07,1.02,0.95,5.19,0.89,0.0,0.0,354.0
Ben Sheppard,IND,SF/SG,70,26.0,5.3,2.81,1.3,0.6,0.22,1.08,0.35,4.56,0.43,0.0,0.0,355.0
Kyle Lowry,PHI,PG,70,26.0,3.9,1.91,2.7,0.94,0.31,0.83,0.6,3.34,0.94,0.0,0.0,356.0
Gabe Vincent,LAL,PG/SG,70,26.0,6.4,1.28,1.4,0.71,0.18,1.51,0.57,5.83,0.29,0.0,0.0,357.0
Ronald Holland,DET,PF/SF,70,26.0,6.4,2.69,1.0,0.6,0.21,0.44,0.89,5.14,1.51,0.0,0.0,358.0
Mo Bamba,,C,70,26.0,3.55,5.27,0.55,0.16,0.88,0.27,0.47,2.96,0.7,0.0,0.0,359.0
Quenton Jackson,IND,SG,70,26.0,5.8,1.57,1.9,0.75,0.18,0.54,0.57,4.36,1.43,0.0,0.0,360.0
Orlando Robinson,ORL,C,70,26.0,5.1,3.72,1.45,0.36,0.27,0.29,0.86,4.43,1.29,0.0,0.0,361.0
Charles Bassey,ATL,C,70,26.0,4.4,4.22,0.5,0.39,0.83,0.0,0.64,3.25,0.92,0.0,0.0,362.0
Colby Jones,DET,PF/SF/SG,70,26.0,4.9,2.61,1.4,0.79,0.34,0.49,0.68,3.98,1.17,0.0,0.0,363.0
Neemias Queta,BOS,C,70,26.0,5.0,3.81,0.7,0.29,0.68,0.0,0.65,3.27,0.98,0.0,0.0,364.0
Jaylen Sims,,PG/SG,70,26.0,7.0,1.0,2.0,0.5,0.17,1.0,1.33,4.67,2.5,0.0,0.0,365.0
Jared Rhoden,,PF/SF/SG,70,26.0,6.2,2.4,0.95,0.57,0.1,0.6,0.53,4.95,1.25,0.0,0.0,366.0
Simone Fontecchio,MIA,PF/SF,70,26.0,5.9,2.87,0.9,0.41,0.16,1.01,0.72,4.97,1.12,0.0,0.0,367.0
Pat Connaughton,CHA,PF/SF/SG,70,26.0,5.3,2.66,1.7,0.22,0.27,0.63,0.59,4.32,0.76,0.0,0.0,368.0
DeAndre Jordan,,C,70,26.0,3.7,5.07,0.9,0.29,0.48,0.0,0.71,2.5,1.14,0.0,0.0,369.0
Talen Horton-Tucker,,SF/SG,70,26.0,6.5,1.72,1.4,0.36,0.19,0.71,0.69,5.02,1.69,0.0,0.0,370.0
Micah Potter,SAS,C/PF,70,26.0,4.3,4.32,0.8,0.37,0.37,0.82,0.82,3.55,0.53,0.0,0.0,371.0
Javonte Green,DET,SF/SG,70,26.0,4.55,2.89,0.75,0.83,0.33,0.6,0.39,3.99,0.94,0.0,0.0,372.0
Oso Ighodaro,PHX,C/PF,70,26.0,4.2,3.64,1.2,0.46,0.48,0.0,0.64,3.07,0.82,0.0,0.0,373.0
Nicolas Batum,LAC,PF/SF,70,26.0,4.0,2.79,1.1,0.67,0.46,1.13,0.44,3.05,0.27,0.0,0.0,374.0
Antonio Reeves,CHA,PG/SF/SG,70,26.0,6.9,1.43,0.9,0.48,0.09,1.16,0.68,5.64,0.8,0.0,0.0,375.0
Jabari Walker,PHI,C/PF,70,26.0,5.2,3.52,0.6,0.55,0.1,0.47,0.57,3.82,1.18,0.0,0.0,376.0
Paul Reed,DET,C/PF,70,26.0,4.1,2.73,1.0,0.87,0.56,0.18,0.58,3.16,0.93,0.0,0.0,377.0
Seth Curry,GSW,SF/SG,70,26.0,6.5,1.66,0.9,0.4,0.1,1.22,0.47,5.04,0.57,0.0,0.0,378.0
Shake Milton,,PG/SF/SG,70,26.0,5.65,1.83,1.85,0.45,0.07,0.69,0.71,4.52,1.04,0.0,0.0,379.0
Trevelin Queen,,SF/SG,70,26.0,4.9,1.74,1.2,1.0,0.32,0.71,0.71,4.74,0.68,0.0,0.0,380.0
AJ Johnson,WAS,PG/SF/SG,70,26.0,6.0,1.68,2.05,0.32,0.07,0.69,0.99,5.77,0.94,0.0,0.0,381.0
Kessler Edwards,DEN,C/PF,70,26.0,4.2,2.88,1.1,0.48,0.5,0.55,0.4,3.38,0.33,0.0,0.0,382.0
Torrey Craig,,PF/SF,70,26.0,4.8,2.8,0.65,0.28,0.38,1.1,0.23,3.83,0.45,0.0,0.0,383.0
Jock Landale,MEM,C,70,26.0,4.8,3.26,0.9,0.31,0.24,0.26,0.5,3.62,0.95,0.0,0.0,384.0
Kobe Bufkin,BKN,PG,70,26.0,5.3,2.1,1.7,0.3,0.2,0.4,0.8,4.7,1.8,0.0,0.0,385.0
Isaiah Wong,,PG/SG,70,26.0,6.0,1.6,1.4,0.55,0.0,0.65,0.9,5.25,1.7,0.0,0.0,386.0
Jamal Cain,ORL,SF/SG,70,26.0,5.3,2.3,0.6,0.62,0.24,0.7,0.59,4.27,1.35,0.0,0.0,387.0
De'Anthony Melton,GSW,PG/SF/SG,70,26.0,5.15,1.67,1.4,0.58,0.17,1.08,0.83,4.5,0.67,0.0,0.0,388.0
