player,team,pos,gp,min,pts,reb,ast,stl,blk,tpm,tov,fga,fta,fg,ft,adp
Miles Bridges,CHA,PF/SF,70,33.0,20.3,7.52,3.9,0.69,0.7,2.2,2.13,17.02,3.97,0.0,0.0,45.0
RJ Barrett,TOR,PF/SF/SG,70,33.0,21.1,6.31,5.4,0.79,0.29,1.84,2.84,16.93,5.36,0.0,0.0,46.0
Trey Murphy,NOP,PF/SF/SG,70,33.0,21.2,5.06,3.5,1.06,0.74,2.98,1.94,15.83,4.34,0.0,0.0,47.0
Desmond Bane,ORL,SF/SG,70,33.0,19.2,6.06,5.3,1.16,0.41,2.38,2.45,14.75,2.87,0.0,0.0,48.0
Pascal Siakam,IND,C/PF,70,33.0,20.2,6.92,3.4,0.9,0.54,1.62,1.4,15.15,3.95,0.0,0.0,49.0
Austin Reaves,LAL,PG/SF/SG,70,33.0,20.2,4.51,5.8,1.11,0.3,2.74,2.42,14.21,5.01,0.0,0.0,50.0
Kristaps Porziņģis,ATL,C/PF,70,33.0,19.5,6.76,2.1,0.74,1.5,2.45,1.26,13.67,4.74,0.0,0.0,51.0
Darius Garland,CLE,PG,70,33.0,20.6,2.85,6.7,1.21,0.15,2.83,2.52,15.65,3.4,0.0,0.0,52.0
DeMar DeRozan,SAC,PF/SF/SG,70,33.0,22.2,3.87,4.4,0.81,0.42,1.09,1.36,16.99,5.73,0.0,0.0,53.0
Zach LaVine,SAC,PG/SG,70,33.0,23.2,4.17,4.15,0.76,0.15,3.23,2.8,16.46,3.78,0.0,0.0,54.0
Brandon Miller,CHA,PF/SF,70,33.0,21.0,4.85,3.6,1.07,0.74,3.85,2.81,18.19,2.93,0.0,0.0,55.0
Josh Giddey,CHI,PG,70,30.0,14.6,8.09,7.2,1.2,0.64,1.5,2.89,11.4,3.2,0.0,0.0,56.0
Josh Hart,NYK,SF/SG,70,30.0,13.6,9.57,5.9,1.55,0.35,1.09,2.05,10.0,2.66,0.0,0.0,57.0
Cam Thomas,BKN,PG/SF/SG,70,35.0,24.0,3.32,3.8,0.6,0.08,2.72,2.48,18.16,6.04,0.0,0.0,58.0
CJ McCollum,WAS,PG/SG,70,33.0,21.1,3.79,4.1,0.82,0.43,3.05,1.89,17.86,3.09,0.0,0.0,59.0
John Collins,LAC,C/PF,70,33.0,19.0,8.18,2.0,0.98,1.0,1.48,2.58,13.28,4.1,0.0,0.0,60.0
